step, loss, error, sigma
2470,0.106922,0.095123,15.6574
2480,0.147623,0.0973782,15.6542
2490,0.117709,0.102412,15.5413
2500,0.0541299,0.0964042,15.5737
2510,0.0509815,0.0882775,15.6805
2520,0.050873,0.0864295,15.5902
2530,0.0687077,0.0897841,15.5822
2540,0.0333231,0.0858715,15.6923
2550,0.0429493,0.0863789,15.6832
2560,0.0577995,0.0807616,15.7027
2570,0.0322177,0.0809458,15.6667
2580,0.0582668,0.0787931,15.7125
2590,0.0669441,0.0794774,15.5693
2600,0.208473,0.0702962,15.8756
2610,0.1694,0.0747429,15.6374
2620,0.0661033,0.0831817,15.6662
2630,0.0445752,0.0883798,15.7188
2640,0.0610144,0.0810444,15.6711
2650,0.0751396,0.0767843,15.6909
2660,0.0704745,0.0757082,15.577
2670,0.0915502,0.0745243,15.786
2680,0.114324,0.086068,15.5824
2690,0.136428,0.0789022,15.701
2700,0.130402,0.0904362,15.7107
2710,0.155301,0.0748019,15.7353
2720,0.148839,0.080768,15.6788
2730,0.0600959,0.0781996,15.7208
2740,0.118253,0.0806813,15.7144
2750,0.0896615,0.0785808,15.6969
2760,0.0547995,0.0812273,15.6859
2770,0.0777369,0.0782449,15.6434
2780,0.0498191,0.0725992,15.8069
2790,0.160103,0.0723768,15.5699
2800,0.179815,0.0796821,15.7968
2810,0.139574,0.080155,15.6583
2820,0.109437,0.0778646,15.7117
2830,0.0900709,0.0763464,15.6642
2840,0.0346502,0.0693583,15.7122
2850,0.0539745,0.0682452,15.7302
2860,0.0416204,0.0652311,15.6676
2870,0.0346574,0.0679399,15.7129
2880,0.0404277,0.0688372,15.6522
2890,0.0471472,0.0654273,15.7625
2900,0.0334641,0.0643561,15.7765
2910,0.0270046,0.0654483,15.6921
2920,0.0396452,0.0683913,15.7558
2930,0.023631,0.0633262,15.7543
2940,0.0301573,0.0608623,15.7363
2950,0.0270086,0.0618279,15.734
2960,0.0382852,0.0677949,15.7199
2970,0.0429329,0.0664381,15.7459
2980,0.0884269,0.0674597,15.7544
2990,0.0537332,0.0692295,15.6452
3000,0.0940435,0.066678,15.7307
3010,0.0631068,0.0632062,15.78
3020,0.0314755,0.0637143,15.7587
3030,0.0601584,0.0598934,15.7926
3040,0.0440703,0.0604523,15.7778
3050,0.0944642,0.0623609,15.7654
3060,0.124159,0.0561357,15.6676
3070,0.179695,0.0674929,15.7102
3080,0.118697,0.0602803,15.7214
3090,0.10669,0.0743766,15.6181
3100,0.398425,0.0668683,16.0832
3110,0.312326,0.0819097,15.7051
3120,0.133328,0.0847621,15.78
3130,0.176375,0.0795911,15.8603
3140,0.157592,0.0668237,15.8062
3150,0.243571,0.0676683,15.959
3160,0.144583,0.0576429,15.947
3170,0.136347,0.0629471,15.7879
3180,0.133767,0.0624992,15.8463
3190,0.183778,0.0635851,15.8168
3200,0.100428,0.0572319,15.9369
3210,0.0613638,0.0624283,15.8356
3220,0.0739484,0.0614122,15.7869
3230,0.0442755,0.0550724,15.8002
3240,0.0153869,0.0512764,15.7742
3250,0.0185481,0.0516342,15.7726
3260,0.0110756,0.0491677,15.8517
3270,0.039122,0.0529904,15.731
