step, Ka, Kd, Ks, alpha, predict
2490,0.00996571,0.169889,0.529889,0.70989,13.0001
2500,0.00493941,0.170479,0.530479,0.710479,12.9996
2510,0.0185647,0.169626,0.529626,0.709626,13.0004
2520,0.00604682,0.169946,0.529946,0.709947,13.0001
2530,0.00309909,0.1701,0.5301,0.710101,12.9999
2540,0.00705466,0.170326,0.530326,0.710326,12.9997
2550,0.00511611,0.169949,0.529949,0.709949,13.0001
2560,0.0187484,0.169282,0.529282,0.709281,13.0007
2570,0.0196923,0.16957,0.52957,0.709572,13.0005
2580,0.00767656,0.169734,0.529734,0.709735,13.0003
2590,0.00294412,0.169825,0.529825,0.709826,13.0002
2600,0.00192222,0.170122,0.530122,0.710122,12.9999
2610,0.000768994,0.169831,0.529831,0.709831,13.0002
2620,0.0255215,0.169988,0.529989,0.709989,13
2630,0.0123682,0.169891,0.529892,0.709893,13.0002
2640,0.00493719,0.169824,0.529824,0.709825,13.0002
2650,0.00198761,0.169894,0.529894,0.709895,13.0001
2660,0.00162735,0.170017,0.530017,0.710017,13
2670,0.0064564,0.170656,0.530656,0.710656,12.9994
2680,0.0333516,0.170247,0.530247,0.710249,12.9998
2690,0.00967738,0.1703,0.5303,0.710302,12.9998
2700,0.00418662,0.170204,0.530204,0.710206,12.9998
2710,0.00188221,0.170054,0.530054,0.710054,12.9999
2720,0.000875612,0.169932,0.529932,0.709932,13.0001
2730,0.00570543,0.169514,0.529514,0.709514,13.0005
2740,0.0212702,0.170368,0.530369,0.710369,12.9997
2750,0.00615264,0.170164,0.530165,0.710166,12.9999
2760,0.00344442,0.169789,0.52979,0.70979,13.0002
2770,0.00259318,0.170011,0.530011,0.710011,13
2780,0.00779222,0.170786,0.530786,0.710786,12.9992
2790,0.04039,0.170559,0.530559,0.710561,12.9995
2800,0.0129793,0.169947,0.529947,0.709949,13.0002
2810,0.00420341,0.169781,0.529782,0.709783,13.0003
2820,0.00212603,0.169872,0.529872,0.709872,13.0001
2830,0.000746439,0.169911,0.529911,0.709911,13.0001
2840,0.000510787,0.170088,0.530088,0.710088,12.9999
2850,0.00412007,0.170451,0.530451,0.710451,12.9996
2860,0.0261364,0.169604,0.529605,0.709605,13.0005
2870,0.00768396,0.169701,0.529701,0.709703,13.0004
2880,0.00391881,0.169942,0.529942,0.709942,13.0001
2890,0.00185793,0.170087,0.530087,0.710087,12.9999
2900,0.00669216,0.170428,0.530429,0.710428,12.9996
2910,0.0108048,0.169683,0.529683,0.709684,13.0003
2920,0.00580649,0.170225,0.530225,0.710226,12.9998
