step, loss, error
8260,0.0444801,0.0782543
8270,0.0506325,0.0777049
8280,0.0525646,0.0773971
8290,0.0918919,0.0770715
8300,0.0391281,0.0768104
8310,0.0683874,0.0761129
8320,0.104652,0.0756419
8330,0.0670162,0.0754219
8340,0.0650633,0.0750091
8350,0.0922477,0.0747991
8360,0.0360808,0.0751552
8370,0.104742,0.0754699
8380,0.0845288,0.0754616
8390,0.0620196,0.0749067
8400,0.0440278,0.074498
8410,0.0439698,0.0740132
8420,0.0452,0.0737238
8430,0.0426792,0.073206
8440,0.0429821,0.0732468
8450,0.0531424,0.0734993
8460,0.0561799,0.0733392
8470,0.0439103,0.0733598
8480,0.0724486,0.0726524
8490,0.076274,0.0719206
8500,0.0524924,0.070977
8510,0.0312031,0.0702585
8520,0.0532414,0.0695187
8530,0.0782821,0.0687098
8540,0.0339452,0.0683804
8550,0.0648073,0.068172
8560,0.051288,0.0676702
8570,0.0415322,0.066988
8580,0.029492,0.0666494
8590,0.0362189,0.0667379
8600,0.023292,0.0657261
8610,0.029533,0.0647679
8620,0.045805,0.0651188
8630,0.0667242,0.0674325
8640,0.0948102,0.0698272
8650,0.0510971,0.0704549
8660,0.113564,0.0706022
8670,0.0193569,0.0701005
8680,0.0424918,0.0690848
8690,0.042221,0.0685638
8700,0.100283,0.0686011
8710,0.0508836,0.0690866
8720,0.0701372,0.0688765
8730,0.0515809,0.0680779
8740,0.0338221,0.0675635
8750,0.123915,0.0668344
8760,0.0650805,0.0664374
8770,0.0637417,0.0658817
8780,0.0571696,0.0653452
8790,0.0330059,0.0648294
8800,0.0442787,0.0640994
8810,0.0534455,0.0634988
8820,0.0627424,0.0629872
8830,0.0317565,0.0626936
8840,0.0425169,0.0621106
8850,0.0225637,0.061862
8860,0.0779661,0.0613198
8870,0.0411234,0.0614291
8880,0.0930366,0.0615733
8890,0.103606,0.062097
8900,0.100939,0.061696
8910,0.0474522,0.060846
8920,0.058663,0.0629549
8930,0.0513164,0.0645836
8940,0.0150532,0.0646951
8950,0.0625097,0.0642679
8960,0.048997,0.0637393
8970,0.0490438,0.0627992
8980,0.0632778,0.0618597
8990,0.0326196,0.0612669
9000,0.0433686,0.0604237
9010,0.0326343,0.0597114
